genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Vps37c,133.86998933271278,23.049248052677637,2.126407806566542,10.839523811706979,2.2363203121968673e-27,4.358588288471694e-25,2,Significant
St8sia6,8.411871337569275,20.995597419084028,2.645018411373442,7.937788761244175,2.0581746962842778e-15,1.4856972159474287e-13,2,Significant
Crat,90.95504913659575,20.250245040773315,2.5821099129819545,7.842518608120474,4.415982642150951e-15,3.0738393462686443e-13,2,Significant
Lcmt2,107.05462351221824,21.54892316201938,1.7866576755590131,12.0610251514897,1.6965786149389227e-33,1.6533158602579802e-30,2,Significant
I830077J02Rik,105.56164390603189,22.927754294489496,2.2384098642582955,10.242875829215793,1.2739235537588208e-24,2.069064171896618e-22,2,Significant
Manea,111.13419959314376,21.809162600204917,2.163038812663278,10.082649683642071,6.59239465135269e-24,9.177555125347423e-22,2,Significant
Tbc1d2,145.09282845968852,21.979762203496875,1.648879968342701,13.330116579431106,1.5465580139027706e-40,3.0142415690965e-37,2,Significant
Junos,75.82380969960185,21.797313585045135,2.325318041386038,9.373906363386123,6.989660259569225e-21,6.811423922950211e-19,2,Significant
Casp9,106.57313703704256,21.067883708196685,2.9054972532948375,7.2510423764144605,4.13576250291781e-13,2.239055866163003e-11,2,Significant
Dtx2,4.8417908475682525,20.154687390437736,2.8149387759798237,7.159902574940478,8.073441694878299e-13,4.2527399630588666e-11,2,Significant
Gm15581,85.12330541923484,20.895723981272827,2.1915197922688905,9.534809612483302,1.5016084250188067e-21,1.6259082335342522e-19,2,Significant
Foxj2,39.713105229879595,21.848430121907008,2.9363107213981303,7.440775924253627,1.0009560872098401e-13,5.911707315066601e-12,2,Significant
Far2,294.24288451931443,22.0803018333329,2.2510340970618725,9.80895929659745,1.0302557794222306e-22,1.3386456760626184e-20,2,Significant
Zfp507,141.6337135874936,23.301295173840774,2.215636909150742,10.51674806354991,7.232693256936079e-26,1.2815017416153108e-23,2,Significant
Zfp790,93.05018447246712,21.48755772697812,1.9336222841240476,11.11259313848476,1.0894892847194506e-28,3.0334494513117276e-26,2,Significant
